"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUNG"
121012,"H",5,4100,3,13,1000000,999480,35,1,1,1,0,1,2,2,2,0,150,1,2,3,3,210,0,0,0,0,3,1,4,0,0,1,1,0,1,1,2,1,0,20000,0,350,6,0,0,0,0,0,1,6,8600,0,4,4,4,1,1,1,4,0,0,0,0,0,29,0,1,0,0,1,1,2,206,0,0,1,4,0,0,0,0
121119,"H",5,2600,3,13,1000000,999480,91,1,1,1,0,1,5,2,2,0,120,2,2,3,3,520,0,0,0,0,3,1,8,0,0,1,1,0,1,1,2,1,0,140000,3,700,1,0,0,0,0,0,1,4,31600,0,4,4,4,1,1,1,6,0,0,0,0,0,10,0,1,0,0,0,0,2,263,0,0,1,12,0,0,0,0
121380,"H",5,3700,3,13,1000000,999480,74,4,1,2,1,1,4,2,2,0,220,2,2,3,3,1400,0,1,870,1,1,1,7,0,0,1,1,0,1,1,1,1,0,150000,4,2,5,1,198300,4,0,0,1,1,198300,0,4,4,4,1,1,1,5,0,4,0,0,0,7,0,1,0,0,0,0,1,1090,3,0,1,22,3,1,1,0
121405,"H",5,1103,3,13,1000000,999480,110,1,1,0,0,1,3,9,0,1000,1,2,1,1,3,1600,0,2,1500,2,1,1,6,0,0,1,1,0,1,1,1,1,0,450000,1,1,4,0,0,0,0,0,1,6,180300,0,4,4,4,1,1,1,4,0,0,0,0,0,20,0,1,0,0,1,1,1,2984,3,0,0,54,0,0,0,0
121492,"H",5,2100,3,13,1000000,999480,50,1,1,1,0,1,4,2,2,0,100,2,2,110,1,890,0,1,1500,1,1,1,9,0,0,1,1,0,1,1,1,1,0,175000,2,40,1,0,0,0,0,0,1,4,150010,0,4,4,4,1,1,1,3,0,0,0,0,0,14,0,1,0,0,0,0,1,1713,3,0,1,32,0,0,0,69803
121706,"H",5,1203,3,13,1000000,999480,99,2,1,0,0,1,2,4,0,0,220,2,2,3,3,0,0,0,0,0,0,1,4,2,670,1,1,0,1,1,3,1,0,0,2,1,6,0,0,0,890,23,1,7,46600,0,4,4,4,1,1,1,4,0,0,0,1,0,0,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
121778,"H",5,2400,3,13,1000000,999480,53,1,1,1,0,1,2,3,2,50,50,2,2,3,3,0,0,0,0,0,3,1,4,0,0,1,1,0,1,1,2,1,0,90000,1,360,7,0,0,0,0,0,1,6,38400,0,4,4,4,1,1,1,2,0,0,0,0,0,6,0,1,0,0,0,0,1,207,0,0,1,20,0,0,0,0
121896,"H",5,400,3,13,1000000,999480,125,1,1,1,0,1,3,2,2,0,70,2,2,110,1,640,0,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,90000,1,60,4,0,0,0,0,0,1,6,16300,0,4,4,4,1,1,1,7,0,0,0,0,0,19,0,1,0,0,1,1,1,256,0,0,1,6,0,0,0,114083
121990,"H",5,4100,3,13,1000000,999480,59,2,1,2,1,1,3,2,2,0,290,2,2,210,3,100,0,2,480,2,1,1,6,0,0,1,1,0,1,1,1,1,0,19000,2,2,6,4,31900,4,0,0,1,1,31900,0,4,4,4,1,1,1,5,0,2,0,0,0,37,0,1,0,0,2,2,1,988,3,0,1,1,0,9,9,113980
121993,"H",5,1103,3,13,1000000,999480,116,2,1,1,0,1,5,2,2,0,140,2,2,90,1,1900,0,2,3200,2,1,1,10,0,0,1,1,0,1,1,1,1,0,9e+05,2,900,1,3,70900,4,0,0,1,1,70900,0,4,4,4,1,1,1,7,0,2,0,0,0,72,0,1,0,0,2,1,1,4246,3,0,1,65,1,7,7,81180
