"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUEL"
4140,"H",5,3400,3,13,1000000,999480,70,1,1,NA,NA,2,1,8,NA,NA,140,1,2,40,3,NA,NA,NA,NA,NA,NA,1,3,2,210,1,1,NA,1,1,3,1,NA,NA,0,2,6,NA,NA,NA,390,41,1,6,11300,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,2,0,0,1,0,1,NA,NA,1,0,NA,NA,NA,NA,39173
4198,"H",5,1107,3,13,1000000,999480,193,1,1,NA,NA,1,1,6,NA,NA,80,2,2,60,1,NA,NA,NA,NA,NA,NA,1,3,2,600,1,1,NA,1,1,3,1,NA,NA,0,1,5,NA,NA,NA,740,101,1,4,8000,0,4,4,4,1,1,1,4,0,NA,0,0,0,NA,0,1,0,0,0,0,2,NA,NA,1,0,NA,NA,NA,NA,26965
4215,"H",5,1205,3,13,1000000,999480,84,2,1,NA,NA,1,3,7,NA,NA,110,2,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,1000,1,1,NA,1,1,3,1,NA,NA,1,960,8,7,5400,2,1190,101,1,3,5400,0,2,2,2,1,1,1,3,1,2,0,0,1,NA,0,1,0,1,0,0,2,NA,NA,1,0,NA,1,14,13,52876
4256,"H",5,3000,3,13,1000000,999480,71,4,1,2,1,1,3,2,2,NA,230,2,2,40,1,400,NA,2,800,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,140000,3,70,6,1,164000,2,NA,NA,3,1,164000,1,2,2,2,1,1,2,5,1,4,0,0,1,8,0,1,0,1,1,1,1,1109,3,0,1,26,2,2,1,77094
4258,"H",5,1800,3,13,1000000,999480,212,3,1,2,1,1,3,2,2,NA,100,2,2,3,3,480,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,130000,2,2,5,5,65000,4,NA,NA,1,2,65000,0,4,4,4,1,1,1,5,0,3,0,0,0,4,0,1,0,0,0,0,2,219,NA,0,1,20,1,10,10,34301
4306,"H",5,1106,3,13,1000000,999480,60,1,1,1,NA,1,3,2,2,NA,110,2,2,170,1,NA,NA,NA,NA,NA,NA,1,6,2,700,1,1,NA,1,1,3,1,NA,NA,1,40,1,NA,NA,NA,983,101,1,6,670,0,4,4,4,1,1,1,5,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,39978
4507,"H",5,1503,3,13,1000000,999480,212,1,1,1,NA,1,2,3,2,NA,80,2,2,80,1,800,NA,1,1200,1,1,1,4,NA,NA,1,1,NA,1,1,1,1,NA,59000,2,40,6,NA,NA,NA,NA,NA,1,4,126000,0,4,4,4,1,1,1,1,0,NA,0,0,0,13,0,1,0,0,0,0,2,1363,3,0,1,24,NA,NA,NA,30203
4532,"H",5,300,3,13,1000000,999480,52,1,1,1,NA,1,1,2,2,NA,150,2,2,3,3,370,NA,1,550,1,1,1,4,NA,NA,1,1,NA,1,1,1,1,NA,110000,1,2,7,NA,NA,NA,NA,NA,1,4,17800,0,4,4,4,1,1,1,3,0,NA,0,0,0,47,0,1,0,0,1,1,1,700,3,0,1,6,NA,NA,NA,59980
4645,"H",5,1301,3,13,1000000,999480,83,2,1,1,NA,1,3,2,2,NA,300,2,2,40,1,680,NA,1,1000,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,200000,2,500,5,1,48500,4,NA,NA,1,1,48500,0,4,4,4,1,1,1,2,0,2,0,0,0,34,0,1,0,0,0,0,1,1382,3,0,1,40,1,8,4,85955
4649,"H",5,300,3,13,1000000,999480,21,2,1,1,NA,1,3,2,2,NA,170,2,2,90,2,2500,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,400000,2,450,6,4,69500,4,NA,NA,1,1,69500,0,4,4,4,1,1,1,3,0,2,0,0,0,13,0,1,0,0,2,2,1,777,NA,0,1,44,0,9,9,72184
4721,"H",5,300,3,13,1000000,999480,132,2,1,2,1,1,3,2,2,NA,100,2,2,50,2,400,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,100000,3,30,4,1,154200,4,NA,NA,1,1,154200,0,4,4,4,1,1,1,6,0,2,0,0,0,2,0,1,0,0,0,0,1,198,NA,0,1,4,2,1,1,50733
